Tree,Water.pot,Organ,Time,N/S,Location
090,2.008,Leaf,pd,SF,Top
090,2.958,Stem,pd,SF,Top
052,2.786,Leaf,pd,SF,Top
052,3.245,Stem,pd,SF,Top
088,1.538,Leaf,pd,SF,Bottom
088,3.908,Stem,pd,SF,Bottom
093,1.371,Leaf,pd,SF,Bottom
093,1.983,Stem,pd,SF,Bottom
102,1.685,Leaf,pd,NF,Top
102,3.036,Stem,pd,NF,Top
100,1.379,Leaf,pd,SF,Bottom
100,2.467,Stem,pd,SF,Bottom
105,0.135,Leaf,pd,NF,Top
105,1.35,Stem,pd,NF,Top
145,2.861,Leaf,pd,NF,Top
145,3.259,Stem,pd,NF,Top
009,1.471,Leaf,pd,SF,Top
009,4.671,Stem,pd,SF,Top
116,2.345,Leaf,pd,NF,Mid
116,NA,Stem,pd,NF,Mid
101,1.098,Leaf,pd,NF,Mid
101,NA,Stem,pd,NF,Mid
112,1.093,Leaf,pd,NF,Mid
112,4.594,Stem,pd,NF,Mid
109,0.354,Leaf,pd,NF,Mid
109,0.135,Stem,pd,NF,Mid
110,NA,Leaf,pd,NF,Top
110,NA,Stem,pd,NF,Top
128,1.266,Leaf,pd,SF,Bottom
128,NA,Stem,pd,SF,Bottom
141,1.013,Leaf,pd,NF,Mid
141,1.804,Stem,pd,NF,Mid
090,1.091,Leaf,md,SF,Top
090,NA,Stem,md,SF,Top
105,2.788,Leaf,md,NF,Top
105,4.432,Stem,md,NF,Top
112,4.13,Leaf,md,NF,Mid
112,6.012,Stem,md,NF,Mid
141,2.624,Leaf,md,NF,Mid
141,2.87,Stem,md,NF,Mid
110,1.539,Leaf,md,NF,Top
110,0.78,Stem,md,NF,Top
101,3.559,Leaf,md,NF,Mid
101,5.049,Stem,md,NF,Mid
116,4.119,Leaf,md,NF,Mid
116,6.165,Stem,md,NF,Mid
109,4.117,Leaf,md,NF,Mid
109,5.939,Stem,md,NF,Mid
102,5.479,Leaf,md,NF,Top
102,6.211,Stem,md,NF,Top
145,NA,Leaf,md,NF,Top
145,3.523,Stem,md,NF,Top
093,4.097,Leaf,md,SF,Bottom
093,6.2,Stem,md,SF,Bottom
052,1.518,Leaf,md,SF,Top
052,2.481,Stem,md,SF,Top
009,1.521,Leaf,md,SF,Top
009,2.42,Stem,md,SF,Top
088,1.931,Leaf,md,SF,Bottom
088,2.77,Stem,md,SF,Bottom
128,2.58,Leaf,md,SF,Bottom
128,2.204,Stem,md,SF,Bottom